City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Buraydah,SA,2022-10-05 01:08:08,26.326,43.975,76.73,22,0,9.53
68,Bethel,US,2022-10-05 01:04:40,41.3712,-73.414,55.76,88,100,9.22
69,Itarema,BR,2022-10-05 01:08:09,-2.9248,-39.9167,77.54,79,91,15.61
70,Fountain,US,2022-10-05 01:08:10,38.6822,-104.7008,62.44,65,100,5.75
71,Cherskiy,RU,2022-10-05 01:08:10,68.75,161.3,27.03,62,7,8.48
72,Atikokan,CA,2022-10-05 01:08:10,48.7555,-91.6216,58.01,74,100,3.76
73,Faanui,PF,2022-10-05 01:08:11,-16.4833,-151.75,78.53,72,11,25.28
74,Avarua,CK,2022-10-05 01:08:11,-21.2078,-159.775,78.85,65,40,21.85
75,Eatonton,US,2022-10-05 01:03:24,33.3268,-83.3885,62.92,82,0,4.83
76,Zaranj,AF,2022-10-05 01:08:12,30.9667,61.8833,74.28,18,0,19.01
77,Dikson,RU,2022-10-05 01:08:12,73.5069,80.5464,32.95,78,100,20.11
78,Purwa,IN,2022-10-05 01:08:13,26.4667,80.7833,78.82,92,100,9.48
79,Sawakin,SD,2022-10-05 01:08:13,19.1059,37.3321,82.78,69,16,4.14
80,East London,ZA,2022-10-05 01:08:14,-33.0153,27.9116,63.27,81,100,12.57
81,Ipixuna,BR,2022-10-05 01:08:15,-1.7625,-48.8043,74.46,93,4,5.68
82,Hobart,AU,2022-10-05 01:07:06,-42.8794,147.3294,55.06,64,75,10.36
83,Malanje,AO,2022-10-05 01:08:15,-9.5402,16.341,66.15,87,98,4.56
84,Walvis Bay,NA,2022-10-05 01:08:16,-22.9575,14.5053,54.09,90,0,7.83
85,Shimoda,JP,2022-10-05 01:08:16,34.6667,138.95,74.1,81,100,2.55
86,Konevo,RU,2022-10-05 01:08:17,62.1215,39.3192,44.44,97,100,5.35
87,Rawson,AR,2022-10-05 01:08:17,-43.3002,-65.1023,64.15,37,99,9.31
88,Creazzo,IT,2022-10-05 01:08:18,45.532,11.4785,64.09,82,0,1.99
89,Castro,BR,2022-10-05 01:08:18,-24.7911,-50.0119,55.83,95,5,5.37
90,Adjumani,UG,2022-10-05 01:08:18,3.3779,31.7909,64.87,97,71,1.36
91,Kondinskoye,RU,2022-10-05 01:08:19,59.6481,67.41,43.75,92,7,5.06
92,Kontagora,NG,2022-10-05 01:08:14,10.3999,5.4695,73.31,88,93,1.9
93,Lagoa,PT,2022-10-05 01:08:19,39.05,-27.9833,67.48,87,100,24.87
94,Belaya Gora,RU,2022-10-05 01:09:20,68.5333,146.4167,22.35,81,85,3.33
95,Bengkulu,ID,2022-10-05 01:09:20,-3.8004,102.2655,76.71,85,100,3.27
96,Cidreira,BR,2022-10-05 01:09:21,-30.1811,-50.2056,59.65,86,2,4.88
97,Chuy,UY,2022-10-05 01:09:21,-33.6971,-53.4616,53.29,88,0,6.02
98,Saint-Pierre,RE,2022-10-05 01:09:21,-21.3393,55.4781,67.68,68,100,6.91
99,Ponta Do Sol,PT,2022-10-05 01:09:22,32.6667,-17.1,72.72,69,40,1.99
100,Syracuse,IT,2022-10-05 01:09:22,37.0881,15.2792,65.57,56,57,3.09
101,Fairview,US,2022-10-05 01:09:23,40.8126,-73.999,56.55,90,100,16.11
102,Dese,ET,2022-10-05 01:09:23,11.1333,39.6333,51.69,91,100,1.92
103,Bonnyville,CA,2022-10-05 01:09:24,54.2668,-110.735,57.15,36,21,7.27
104,Khor,RU,2022-10-05 01:09:24,47.8861,134.9464,40.5,42,0,14.05
105,Bossangoa,CF,2022-10-05 01:09:24,6.4926,17.4552,67.8,91,100,2.71
106,Edd,ER,2022-10-05 01:09:25,13.9297,41.6925,89.83,59,87,6.42
107,Pochutla,MX,2022-10-05 01:09:25,15.7432,-96.4661,80.82,88,6,3.85
108,Lethem,GY,2022-10-05 01:09:26,3.3803,-59.7968,81.72,67,100,5.14
109,Laramie,US,2022-10-05 01:09:26,41.3114,-105.5911,52.18,47,0,11.5
110,Konstantinovka,RU,2022-10-05 01:09:26,49.6167,127.9833,39.27,38,11,11.01
111,Oytal,KZ,2022-10-05 01:09:27,42.9057,73.2697,50.52,55,38,3.36
112,Qaanaaq,GL,2022-10-05 01:09:27,77.484,-69.3632,16.57,77,100,6.11
113,Nabire,ID,2022-10-05 01:09:28,-3.3667,135.4833,85.53,65,99,3.0
114,Sainte-Thecle,CA,2022-10-05 01:09:28,46.8168,-72.4991,47.25,71,8,1.45
115,Pevek,RU,2022-10-05 01:09:28,69.7008,170.3133,27.43,76,86,7.7
116,Touros,BR,2022-10-05 01:09:29,-5.1989,-35.4608,76.32,77,23,13.89
